Cliente;Vendedor;CNPJ;Grupo Economico
SUPERMERCADO ALVORADA INAMAR EIRELI;JUAREZ COSTA;1,56215E+12;REDE ALVORADA
SUPERMERCADO ALVORADA INAMAR EIRELI;JUAREZ COSTA;1,56215E+12;REDE ALVORADA
SUPERMERCADO ALVORADA INAMAR EIRELI;JUAREZ COSTA;1,56215E+12;REDE ALVORADA
CRISTINA MARIA MONTEIRO DE SOUSA ME;JOSE ARTENCIO;4,55045E+12;CRISTINA
MERCADINHO FILIPINHO LTDA;JOSE ARTENCIO - AS;6,59088E+13;MERCADO FILIPINHO
MERCADINHO MANJE LTDA - ME;ERICK MOREIRA;4,89896E+12;MANJE
MERCADINHO MANJE LTDA - ME;ERICK MOREIRA;4,89896E+12;MANJE
MERCADINHO MANJE LTDA - ME;ERICK MOREIRA;4,89896E+12;MANJE
MERCADINHO PRAKASA LIMITADA - EPP;JOSE ARTENCIO;6,6112E+13;PRAKASA
MERCADINHO PRAKASA LIMITADA - EPP;JOSE ARTENCIO;6,6112E+13;PRAKASA
HOZUMI MOROKAWA COTIA - ME;PAULO COSTA;7,29787E+13;HOZUMI MOROKAWA
HOZUMI MOROKAWA COTIA - ME;PAULO COSTA;7,29787E+13;HOZUMI MOROKAWA
MINI MERCADO COSTA E BOMFIM LTDA;JOSE ARTENCIO;5,0373E+12;COSTA E BOMFIM
MINI MERCADO COSTA E BOMFIM LTDA;JOSE ARTENCIO;5,0373E+12;COSTA E BOMFIM
PANIFICADORA CONFEITARIA RAINHA DE CIPO LTDA;KELVIN;5,40398E+13;RAINHA DE CIPO
PANIFICADORA CONFEITARIA RAINHA DE CIPO LTDA;KELVIN;5,40398E+13;RAINHA DE CIPO
SUPERMERCADO G NOVELLINI LTDA;MARIO MIZUKA;6,2088E+13;G NOVELLINI
MERCADINHO GB ALVES E SILVA LTDA - ME;JOSE ARTENCIO;6,94276E+12;MERCADINHO GB
MERCADINHO COPA 70 LTDA - ME;JOSE ARTENCIO;1,38124E+13;MERCADINHO COPA 70
MERCADO TODA HORA - M DAS D DO NASCIMENTO - MERCEARIA - ME;TELEVENDAS - DA TERRINHA;1,27443E+13;TODA HORA
COMERCIAL PRACA DA ARVORE LTDA - ME;ALICE LUCIANA;7,39147E+11;PRACA DA ARVORE
COMERCIAL PRACA DA ARVORE LTDA - ME;RONILDO FERREIRA;7,39147E+11;PRACA DA ARVORE
NW - H W MERCEARIA LTDA ME;INES MARTIN;6,1838E+12;N W MERCEARIA
MINI MERCADO BABY LTDA - ME;INES MARTIN;5,22268E+13;BABY
MERCADO ZOO SAFARI LTDA ME;ALICE LUCIANA;2,58606E+12;ZOO SAFARI
MERCADO ZOO SAFARI LTDA ME;EUGENIO GOMES PONTES;2,58606E+12;ZOO SAFARI
MERCADO REMAX LTDA - EPP;TELEVENDAS - DA TERRINHA;13026000174;REMAX
MERCADO REMAX LTDA - EPP;TELEVENDAS - DA TERRINHA;13026000174;REMAX
MERCADO REMAX LTDA - EPP;TELEVENDAS - DA TERRINHA;13026000174;REMAX
MERCADO REMAX LTDA - EPP;TELEVENDAS - DA TERRINHA;13026000174;REMAX
MERCADO REMAX LTDA - EPP;TELEVENDAS - DA TERRINHA;13026000174;REMAX
MAXXI ATACADO - WMS SUPERMERCADOS DO BRASIL LTDA - DIADEMA;ROBERTO OLIVEIRA ANDRADE;9,32098E+13;ATACADAO - SP LOJAS
MAXXI ATACADO - WMS SUPERMERCADOS DO BRASIL LTDA - TABOAO;ROBERTO OLIVEIRA ANDRADE;9,32098E+13;ATACADAO - SP LOJAS
MERCADO MARIA DO CEU LTDA;ALICE LUCIANA;1,73414E+13;MARIA DO CEU
MERCADO MARIA DO CEU LTDA;GILSON CORTEZ;1,73414E+13;MARIA DO CEU
MINIMERCADO BOM CLIMA LTDA - ME;ERICK MOREIRA;1,54482E+13;BOM CLIMA
MINIMERCADO BOM CLIMA LTDA - ME;ERICK MOREIRA;1,54482E+13;BOM CLIMA
MINIMERCADO BOM CLIMA LTDA - ME;ERICK MOREIRA;1,54482E+13;BOM CLIMA
MINIMERCADO BOM CLIMA LTDA - ME;ERICK MOREIRA;1,54482E+13;BOM CLIMA
MERCADO EXITO LTDA;SILVANO ARRUDA;4,24281E+12;EXITO
MERCADO EXITO LTDA;SILVANO ARRUDA;4,24281E+12;EXITO
MERCADO EXITO LTDA;SILVANO ARRUDA;4,24281E+12;EXITO
DELIKATESSE II PAES E DOCES LTDA;ERICK MOREIRA;6,72747E+13;BANDEIRANTES
DELIKATESSE II PAES E DOCES LTDA;ERICK MOREIRA;6,72747E+13;BANDEIRANTES
AYUMI - MERCADINHO AYUMI LTDA - 05;LEANDRO GOLDINHO LOPES;6,76161E+13;AYUMI
AYUMI - MERCADINHO AYUMI LTDA - 05;LEANDRO GOLDINHO LOPES;6,76161E+13;AYUMI
AYUMI - MERCADINHO AYUMI LTDA - 05;LEANDRO GOLDINHO LOPES;6,76161E+13;AYUMI
SONDA SUPERMERCADOS EXP E IMP S A - 38;ANGELA MARIA;1,93764E+12;SONDA
SONDA SUPERMERCADOS EXP E IMP S A - 38;ANGELA MARIA;1,93764E+12;SONDA
SONDA SUPERMERCADOS EXP E IMP S A - 38;ANGELA MARIA;1,93764E+12;SONDA
SONDA SUPERMERCADOS EXP E IMP S A - 38;ANGELA MARIA;1,93764E+12;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;1,93764E+12;SONDA
SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;ANGELA MARIA;1,93764E+12;SONDA
FABIO ALVES VIEIRA MERCEARIA - ME;JOEL TEIXEIRA FERREIRA;5,65237E+12;MERCADO VIEIRA
SUPERMERCADO MINA ALTA LTDA - ME;KELVIN;5,33432E+13;MINA ALTA
SUPERMERCADO MINA ALTA LTDA - ME;KELVIN;5,33432E+13;MINA ALTA
SUPERMERCADO MINA ALTA LTDA - ME;KELVIN;5,33432E+13;MINA ALTA
EXTRA - COMPANHIA BRASILEIRA DE DISTRIBUICAO - PARELHEIROS;EDMILSON NUNES;4,75084E+13;EXTRA
EXTRA - COMPANHIA BRASILEIRA DE DISTRIBUICAO - SANTO AMARO;EDMILSON NUNES;4,75084E+13;EXTRA
EXTRA - COMPANHIA BRASILEIRA DE DISTRIBUICAO - VILA SAO JOSE;EDMILSON NUNES;4,75084E+13;EXTRA
EMPORIUM HITOMIX LTDA;INES MARTIN;1,30634E+13;EMPORIUM HITOMIX
